price (Y),wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,"fuel type (1 gas, 0 diesel)","aspiration (1 std, 0 turbo)","doornumber (1 four, 0 two)","sedan (1 yes, 0 no)","hatchback (1 yes, 0 no)","wagon (1 yes, 0 no)","hardtop (1 yes, 0 no)","4wd (1 yes, 0 no)","fwd (1 yes, 0 no)","enginelocation (1 front, 0 back)","ohc (1 yes, 0 no)","ohcf (1 yes, 0 no)","ohcv (1 yes, 0 no)","dohc (1 yes, 0 no)","four (1 yes, 0 no)","six (1 yes, 0 no)","five (1 yes, 0 no)","eight (1 yes, 0 no)","mpfi (1 yes, 0 no)","2bbl (1 yes, 0 no)","idi (1 yes, 0 no)","1bbl (1 yes, 0 no)","-2 (1 yes, 0 no)","-1 (1 yes, 0 no)","0 (1 yes, 0 no)","1 (1 yes, 0 no)","2 (1 yes, 0 no)",
13495,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,21,27,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
16500,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,21,27,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
16500,94.5,171.2,65.5,52.4,2823,152,2.68,3.47,9,154,5000,19,26,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,
13950,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10,102,5500,24,30,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,
17450,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8,115,5500,18,22,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,
15250,99.8,177.3,66.3,53.1,2507,136,3.19,3.4,8.5,110,5500,19,25,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,
17710,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,110,5500,19,25,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,
18920,105.8,192.7,71.4,55.7,2954,136,3.19,3.4,8.5,110,5500,19,25,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,
23875,105.8,192.7,71.4,55.9,3086,131,3.13,3.4,8.3,140,5500,17,20,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,
17859.167,99.5,178.2,67.9,52,3053,131,3.13,3.4,7,160,5500,16,22,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,
16430,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,
16925,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,
20970,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,9,121,4250,21,28,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
21105,101.2,176.8,64.8,54.3,2765,164,3.31,3.19,9,121,4250,21,28,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
24565,103.5,189,66.9,55.7,3055,164,3.31,3.19,9,121,4250,20,25,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,
30760,103.5,189,66.9,55.7,3230,209,3.62,3.39,8,182,5400,16,22,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
41315,103.5,193.8,67.9,53.7,3380,209,3.62,3.39,8,182,5400,16,22,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
36880,110,197,70.9,56.3,3505,209,3.62,3.39,8,182,5400,15,20,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
5151,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,9.5,48,5100,47,53,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
6295,94.5,155.9,63.6,52,1874,90,3.03,3.11,9.6,70,5400,38,43,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
6575,94.5,158.8,63.6,52,1909,90,3.03,3.11,9.6,70,5400,38,43,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
5572,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.41,68,5500,37,41,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
6377,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.4,68,5500,31,38,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
7957,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,
6229,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
6692,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
7609,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
8558,93.7,157.3,63.8,50.6,2191,98,3.03,3.39,7.6,102,5500,24,30,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,
8921,103.3,174.6,64.6,59.8,2535,122,3.34,3.46,8.5,88,5000,24,30,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,
12964,95.9,173.2,66.3,50.2,2811,156,3.6,3.9,7,145,5000,19,24,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
6479,86.6,144.6,63.9,50.8,1713,92,2.91,3.41,9.6,58,4800,49,54,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,
6855,86.6,144.6,63.9,50.8,1819,92,2.91,3.41,9.2,76,6000,31,38,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,
5399,93.7,150,64,52.6,1837,79,2.91,3.07,10.1,60,5500,38,42,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,
6529,93.7,150,64,52.6,1940,92,2.91,3.41,9.2,76,6000,30,34,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,
7129,93.7,150,64,52.6,1956,92,2.91,3.41,9.2,76,6000,30,34,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,
7295,96.5,163.4,64,54.5,2010,92,2.91,3.41,9.2,76,6000,30,34,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,
7295,96.5,157.1,63.9,58.3,2024,92,2.92,3.41,9.2,76,6000,30,34,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,
7895,96.5,167.5,65.2,53.3,2236,110,3.15,3.58,9,86,5800,27,33,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,
9095,96.5,167.5,65.2,53.3,2289,110,3.15,3.58,9,86,5800,27,33,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,
8845,96.5,175.4,65.2,54.1,2304,110,3.15,3.58,9,86,5800,27,33,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,
10295,96.5,175.4,62.5,54.1,2372,110,3.15,3.58,9,86,5800,27,33,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,
12945,96.5,175.4,65.2,54.1,2465,110,3.15,3.58,9,101,5800,24,28,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,
10345,96.5,169.1,66,51,2293,110,3.15,3.58,9.1,100,5500,25,31,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
6785,94.3,170.7,61.8,53.5,2337,111,3.31,3.23,8.5,78,4800,24,29,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
8916.5,94.5,155.9,63.6,52,1874,90,3.03,3.11,9.6,70,5400,38,43,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
8916.5,94.5,155.9,63.6,52,1909,90,3.03,3.11,9.6,70,5400,38,43,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
11048,96,172.6,65.2,51.4,2734,119,3.43,3.23,9.2,90,5000,24,29,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
32250,113,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,
35550,113,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,
36000,102,191.7,70.6,47.8,3950,326,3.54,2.76,11.5,262,5000,13,17,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
5195,93.1,159.1,64.2,54.1,1890,91,3.03,3.15,9,68,5000,30,31,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
6095,93.1,159.1,64.2,54.1,1900,91,3.03,3.15,9,68,5000,31,38,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
6795,93.1,159.1,64.2,54.1,1905,91,3.03,3.15,9,68,5000,31,38,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
6695,93.1,166.8,64.2,54.1,1945,91,3.03,3.15,9,68,5000,31,38,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
7395,93.1,166.8,64.2,54.1,1950,91,3.08,3.15,9,68,5000,31,38,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
10945,95.3,169,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11845,95.3,169,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13645,95.3,169,65.7,49.6,2385,70,3.33,3.255,9.4,101,6000,17,23,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15645,95.3,169,65.7,49.6,2500,80,3.33,3.255,9.4,135,6000,16,23,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
8845,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
8495,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
10595,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
10245,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
10795,98.8,177.8,66.5,55.5,2443,122,3.39,3.39,22.7,64,4650,36,42,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,
11245,98.8,177.8,66.5,55.5,2425,122,3.39,3.39,8.6,84,4800,26,32,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
18280,104.9,175,66.1,54.4,2670,140,3.76,3.16,8,120,5000,19,27,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,
18344,104.9,175,66.1,54.4,2700,134,3.43,3.64,22,72,4200,31,39,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,
25552,110,190.9,70.3,56.5,3515,183,3.58,3.64,21.5,123,4350,22,25,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,
28248,110,190.9,70.3,58.7,3750,183,3.58,3.64,21.5,123,4350,22,25,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,
28176,106.7,187.5,70.3,54.9,3495,183,3.58,3.64,21.5,123,4350,22,25,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
31600,115.6,202.6,71.7,56.3,3770,183,3.58,3.64,21.5,123,4350,22,25,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,
34184,115.6,202.6,71.7,56.5,3740,234,3.46,3.1,8.3,155,4750,16,18,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,
35056,96.6,180.3,70.5,50.8,3685,234,3.46,3.1,8.3,155,4750,16,18,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
40960,120.9,208.1,71.7,56.7,3900,308,3.8,3.35,8,184,4500,14,16,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,
45400,112,199.2,72,55.4,3715,304,3.8,3.35,8,184,4500,14,16,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,
16503,102.7,178.4,68,54.8,2910,140,3.78,3.12,8,175,5000,19,24,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,
5389,93.7,157.3,64.4,50.8,1918,92,2.97,3.23,9.4,68,5500,37,41,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,
6189,93.7,157.3,64.4,50.8,1944,92,2.97,3.23,9.4,68,5500,31,38,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,
6669,93.7,157.3,64.4,50.8,2004,92,2.97,3.23,9.4,68,5500,31,38,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,
7689,93,157.3,63.8,50.8,2145,98,3.03,3.39,7.6,102,5500,24,30,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,
9959,96.3,173,65.4,49.4,2370,110,3.17,3.46,7.5,116,5500,23,30,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
8499,96.3,173,65.4,49.4,2328,122,3.35,3.46,8.5,88,5000,25,32,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
12629,95.9,173.2,66.3,50.2,2833,156,3.58,3.86,7,145,5000,19,24,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
14869,95.9,173.2,66.3,50.2,2921,156,3.59,3.86,7,145,5000,19,24,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
14489,95.9,173.2,66.3,50.2,2926,156,3.59,3.86,7,145,5000,19,24,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
6989,96.3,172.4,65.4,51.6,2365,122,3.35,3.46,8.5,88,5000,25,32,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
8189,96.3,172.4,65.4,51.6,2405,122,3.35,3.46,8.5,88,5000,25,32,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
9279,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,
9279,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
5499,94.5,165.3,63.8,54.5,1889,97,3.15,3.29,9.4,69,5200,31,37,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
7099,94.5,165.3,63.8,54.5,2017,103,2.99,3.47,21.9,55,4800,45,50,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,
6649,94.5,165.3,63.8,54.5,1918,97,3.15,3.29,9.4,69,5200,31,37,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
6849,94.5,165.3,63.8,54.5,1938,97,3.15,3.29,9.4,69,5200,31,37,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
7349,94.5,170.2,63.8,53.5,2024,97,3.15,3.29,9.4,69,5200,31,37,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
7299,94.5,165.3,63.8,54.5,1951,97,3.15,3.29,9.4,69,5200,31,37,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
7799,94.5,165.6,63.8,53.3,2028,97,3.15,3.29,9.4,69,5200,31,37,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
7499,94.5,165.3,63.8,54.5,1971,97,3.15,3.29,9.4,69,5200,31,37,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
7999,94.5,170.2,63.8,53.5,2037,97,3.15,3.29,9.4,69,5200,31,37,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
8249,95.1,162.4,63.8,53.3,2008,97,3.15,3.29,9.4,69,5200,31,37,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,
