price (Y),wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,"fuel type (1 gas, 0 diesel)","aspiration (1 std, 0 turbo)","doornumber (1 four, 0 two)","sedan (1 yes, 0 no)","hatchback (1 yes, 0 no)","wagon (1 yes, 0 no)","hardtop (1 yes, 0 no)","4wd (1 yes, 0 no)","fwd (1 yes, 0 no)","enginelocation (1 front, 0 back)","ohc (1 yes, 0 no)","ohcf (1 yes, 0 no)","ohcv (1 yes, 0 no)","dohc (1 yes, 0 no)","four (1 yes, 0 no)","six (1 yes, 0 no)","five (1 yes, 0 no)","eight (1 yes, 0 no)","mpfi (1 yes, 0 no)","2bbl (1 yes, 0 no)","idi (1 yes, 0 no)","1bbl (1 yes, 0 no)","-2 (1 yes, 0 no)","-1 (1 yes, 0 no)","0 (1 yes, 0 no)","1 (1 yes, 0 no)","2 (1 yes, 0 no)",
8949,97.2,173.4,65.2,54.7,2324,120,3.33,3.47,8.5,97,5200,27,34,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
9549,97.2,173.4,65.2,54.7,2302,120,3.33,3.47,8.5,97,5200,27,34,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
13499,100.4,181.7,66.5,55.1,3095,181,3.43,3.27,9,152,5200,17,22,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
14399,100.4,184.6,66.5,56.1,3296,181,3.43,3.27,9,152,5200,17,22,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
13499,100.4,184.6,66.5,55.1,3060,181,3.43,3.27,9,152,5200,19,25,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
17199,91.3,170.7,67.9,49.7,3071,181,3.43,3.27,9,160,5200,19,25,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
19699,91.3,170.7,67.9,49.7,3139,181,3.43,3.27,7.8,200,5200,17,23,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
18399,99.2,178.5,67.9,49.7,3139,181,3.43,3.27,9,160,5200,19,25,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,
11900,107.9,186.7,68.4,56.7,3020,120,3.46,3.19,8.4,97,5000,19,24,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,
13200,107.9,186.7,68.4,56.7,3197,152,3.7,3.52,21,95,4150,28,33,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,
12440,114.2,198.9,68.4,58.7,3230,120,3.46,3.19,8.4,97,5000,19,24,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,
13860,114.2,198.9,68.4,58.7,3430,152,3.7,3.52,21,95,4150,25,25,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,
15580,107.9,186.7,68.4,56.7,3075,120,3.46,2.19,8.4,95,5000,19,24,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,
16900,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21,95,4150,28,33,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,
16695,114.2,198.9,68.4,56.7,3285,120,3.46,2.19,8.4,95,5000,19,24,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,
17075,114.2,198.9,68.4,58.7,3485,152,3.7,3.52,21,95,4150,25,25,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,
16630,107.9,186.7,68.4,56.7,3075,120,3.46,3.19,8.4,97,5000,19,24,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,
17950,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21,95,4150,28,33,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,
18150,108,186.7,68.3,56,3130,134,3.61,3.21,7,142,5600,18,24,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,
5572,93.7,157.3,63.8,50.8,1918,90,2.97,3.23,9.4,68,5500,37,41,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
7957,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,
6229,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
6692,93.7,167.3,63.8,50.8,1989,90,2.97,3.23,9.4,68,5500,31,38,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
7609,93.7,167.3,63.8,50.8,2191,98,2.97,3.23,9.4,68,5500,31,38,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
8921,103.3,174.6,64.6,59.8,2535,122,3.35,3.46,8.5,88,5000,24,30,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,
12764,95.9,173.2,66.3,50.2,2818,156,3.59,3.86,7,145,5000,19,24,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
22018,94.5,168.9,68.3,50.2,2778,151,3.94,3.11,9.5,143,5500,19,27,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
32528,89.5,168.9,65,51.6,2756,194,3.74,2.9,9.5,207,5900,17,25,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
34028,89.5,168.9,65,51.6,2756,194,3.74,2.9,9.5,207,5900,17,25,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
37028,89.5,168.9,65,51.6,2800,194,3.74,2.9,9.5,207,5900,17,25,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
31400.5,98.4,175.7,72.3,50.5,3366,203,3.94,3.11,10,288,5750,17,28,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,
9295,96.1,181.5,66.5,55.2,2579,132,3.46,3.9,8.7,90,5100,23,31,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,
9895,96.1,176.8,66.6,50.5,2460,132,3.46,3.9,8.7,90,5100,23,31,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,
11850,99.1,186.6,66.5,56.1,2658,121,3.54,3.07,9.31,110,5250,21,28,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
12170,99.1,186.6,66.5,56.1,2695,121,3.54,3.07,9.3,110,5250,21,28,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,
15040,99.1,186.6,66.5,56.1,2707,121,2.54,2.07,9.3,110,5250,21,28,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
15510,99.1,186.6,66.5,56.1,2758,121,3.54,3.07,9.3,110,5250,21,28,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,
18150,99.1,186.6,66.5,56.1,2808,121,3.54,3.07,9,160,5500,19,26,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
18620,99.1,186.6,66.5,56.1,2847,121,3.54,3.07,9,160,5500,19,26,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,
5118,93.7,156.9,63.4,53.7,2050,97,3.62,2.36,9,69,4900,31,36,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,
7053,93.7,157.9,63.6,53.7,2120,108,3.62,2.64,8.7,73,4400,26,31,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,
7603,93.3,157.3,63.8,55.7,2240,108,3.62,2.64,8.7,73,4400,26,31,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,
7126,97.2,172,65.4,52.5,2145,108,3.62,2.64,9.5,82,4800,32,37,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
7775,97.2,172,65.4,52.5,2190,108,3.62,2.64,9.5,82,4400,28,33,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
9960,97.2,172,65.4,52.5,2340,108,3.62,2.64,9,94,5200,26,32,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,
9233,97,172,65.4,54.3,2385,108,3.62,2.64,9,82,4800,24,25,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
11259,97,172,65.4,54.3,2510,108,3.62,2.64,7.7,111,4800,24,29,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,
7463,97,173.5,65.4,53,2290,108,3.62,2.64,9,82,4800,28,32,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
10198,97,173.5,65.4,53,2455,108,3.62,2.64,9,94,5200,25,31,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,
8013,96.9,173.6,65.4,54.9,2420,108,3.62,2.64,9,82,4800,23,29,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
11694,96.9,173.6,65.4,54.9,2650,108,3.62,2.64,7.7,111,4800,23,23,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,
5348,95.7,158.7,63.6,54.5,1985,92,3.05,3.03,9,62,4800,35,39,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
6338,95.7,158.7,63.6,54.5,2040,92,3.05,3.03,9,62,4800,31,38,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
6488,95.7,158.7,63.6,54.5,2015,92,3.05,3.03,9,62,4800,31,38,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
6918,95.7,169.7,63.6,59.1,2280,92,3.05,3.03,9,62,4800,31,37,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
7898,95.7,169.7,63.6,59.1,2290,92,3.05,3.03,9,62,4800,27,32,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
8778,95.7,169.7,63.6,59.1,3110,92,3.05,3.03,9,62,4800,27,32,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
6938,95.7,166.3,64.4,53,2081,98,3.19,3.03,9,70,4800,30,37,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
7198,95.7,166.3,64.4,52.8,2109,98,3.19,3.03,9,70,4800,30,37,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
7898,95.7,166.3,64.4,53,2275,110,3.27,3.35,22.5,56,4500,34,36,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,
7788,95.7,166.3,64.4,52.8,2275,110,3.27,3.35,22.5,56,4500,38,47,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,
7738,95.7,166.3,64.4,53,2094,98,3.19,3.03,9,70,4800,38,47,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
8358,95.7,166.3,64.4,52.8,2122,98,3.19,3.03,9,70,4800,28,34,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
9258,95.7,166.3,64.4,52.8,2140,98,3.19,3.03,9,70,4800,28,34,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
8058,94.5,168.7,64,52.6,2169,98,3.19,3.03,9,70,4800,29,34,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
8238,94.5,168.7,64,52.6,2204,98,3.19,3.03,9,70,4800,29,34,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
9298,94.5,168.7,64,52.6,2265,98,3.24,3.08,9.4,112,6600,26,29,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,
9538,94.5,168.7,64,52.6,2300,98,3.24,3.08,9.4,112,6600,26,29,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,
8449,98.4,176.2,65.6,52,2540,146,3.62,3.5,9.3,116,4800,24,30,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,
9639,98.4,176.2,65.6,52,2536,146,3.62,3.5,9.3,116,4800,24,30,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,
9989,98.4,176.2,65.6,52,2551,146,3.62,3.5,9.3,116,4800,24,30,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,
11199,98.4,176.2,65.6,52,2679,146,3.62,3.5,9.3,116,4800,24,30,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,
11549,98.4,176.2,65.6,52,2714,146,3.62,3.5,9.3,116,4800,24,30,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,
17669,98.4,176.2,65.6,53,2975,146,3.62,3.5,9.3,116,4800,24,30,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,
8948,102.4,175.6,66.5,54.9,2326,122,3.31,3.54,8.7,92,4200,29,34,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
10698,102.4,175.6,66.5,54.9,2480,110,3.27,3.35,22.5,73,4500,30,33,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,
9988,102.4,175.6,66.5,53.9,2414,122,3.31,3.54,8.7,92,4200,27,32,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
10898,102.4,175.6,66.5,54.9,2414,122,3.31,3.54,8.7,92,4200,27,32,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
11248,102.4,175.6,66.5,53.9,2458,122,3.31,3.54,8.7,92,4200,27,32,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
16558,102.9,183.5,67.7,52,2976,171,3.27,3.35,9.3,161,5200,20,24,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,
15998,102.9,183.5,67.7,52,3016,171,3.27,3.35,9.3,161,5200,19,24,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,
15690,104.5,187.8,66.5,54.1,3131,171,3.27,3.35,9.2,156,5200,20,24,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,
15750,104.5,187.8,66.5,54.1,3151,161,3.27,3.35,9.2,156,5200,19,24,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,
7775,97.3,171.7,65.5,55.7,2261,97,3.01,3.4,23,52,4800,37,46,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,
7975,97.3,171.7,65.5,55.7,2209,109,3.19,3.4,9,85,5250,27,34,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,
7995,97.3,171.7,65.5,55.7,2264,97,3.01,3.4,23,52,4800,37,46,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,
8195,97.3,171.7,65.5,55.7,2212,109,3.19,3.4,9,85,5250,27,34,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,
8495,97.3,171.7,65.5,55.7,2275,109,3.19,3.4,9,85,5250,27,34,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,
9495,97.3,171.7,65.5,55.7,2319,97,3.01,3.4,23,68,4500,37,42,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,
9995,97.3,171.7,65.5,55.7,2300,109,3.19,3.4,10,100,5500,26,32,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,
11595,94.5,159.3,64.2,55.6,2254,109,3.19,3.4,8.5,90,5500,24,29,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
9980,94.5,165.7,64,51.4,2221,109,3.19,3.4,8.5,90,5500,24,29,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
13295,100.4,180.2,66.9,55.1,2661,136,3.19,3.4,8.5,110,5500,19,24,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,
13845,100.4,180.2,66.9,55.1,2579,97,3.01,3.4,23,68,4500,33,38,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,
12290,100.4,183.1,66.9,55.1,2563,109,3.19,3.4,9,88,5500,25,31,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,
12940,104.3,188.8,67.2,56.2,2912,141,3.78,3.15,9.5,114,5400,23,28,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
13415,104.3,188.8,67.2,57.5,3034,141,3.78,3.15,9.5,114,5400,23,28,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
15985,104.3,188.8,67.2,56.2,2935,141,3.78,3.15,9.5,114,5400,24,28,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
16515,104.3,188.8,67.2,57.5,3042,141,3.78,3.15,9.5,114,5400,24,28,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
18420,104.3,188.8,67.2,56.2,3045,130,3.62,3.15,7.5,162,5100,17,22,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
18950,104.3,188.8,67.2,57.5,3157,130,3.62,3.15,7.5,162,5100,17,22,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
16845,109.1,188.8,68.9,55.5,2952,141,3.78,3.15,9.5,114,5400,23,28,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
19045,109.1,188.8,68.8,55.5,3049,141,3.78,3.15,8.7,160,5300,19,25,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
21485,109.1,188.8,68.9,55.5,3012,173,3.58,2.87,8.8,134,5500,18,23,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,
22470,109.1,188.8,68.9,55.5,3217,145,3.01,3.4,23,106,4800,26,27,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,
22625,109.1,188.8,68.9,55.5,3062,141,3.78,3.15,9.5,114,5400,19,25,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
